movie,actor,year,ranking,votes
Big Lebowski,Jimmie Dale Gilmore,111,0.44999999999999996,47222.22222222222
Big Lebowski,Jack Kehler,111,0.44999999999999996,47222.22222222222
Big Lebowski,John Turturro,111,0.44999999999999996,47222.22222222222
Big Lebowski,James G. Hoosier,111,0.44999999999999996,47222.22222222222
Big Lebowski,Carlos Leon,111,0.44999999999999996,47222.22222222222
Big Lebowski,Terrence Burton,111,0.44999999999999996,47222.22222222222
Tokijska opowieść,Chishû Ryû,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Chieko Higashiyama,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Sô Yamamura,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Setsuko Hara,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Haruko Sugimura,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Kuniko Miyake,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Kyôko Kagawa,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Eijirô Tôno,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Nobuo Nakamura,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Shirô Ôsaka,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Hisao Toake,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Teruko Nagaoka,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Mutsuko Sakura,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Toyo Takahashi,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Tôru Abe,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Sachiko Mitani,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Zen Murase,108.5,0.44999999999999996,3722.222222222222
Tokijska opowieść,Mitsuhiro Môri,108.5,0.44999999999999996,3722.222222222222
Rocky,Sylvester Stallone,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Talia Shire,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Burt Young,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Carl Weathers,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Burgess Meredith,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Thayer David,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Joe Spinell,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Jimmy Gambina,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Bill Baldwin,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Al Silvani,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,George Memmoli,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Jodi Letizia,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Diana Lewis,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,George O'Hanlon,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Larry Carroll,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Stan Shaw,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Don Sherman,109.77777777777777,0.44999999999999996,34388.88888888889
Rocky,Billy Sands,109.77777777777777,0.44999999999999996,34388.88888888889
Hotel Ruanda,Don Cheadle,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Sophie Okonedo,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Joaquin Phoenix,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Xolani Mali,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Desmond Dube,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Hakeem Kae-Kazim,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Tony Kgoroge,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Rosie Motene,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Neil McCarthy,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Mabutho 'Kid' Sithole,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Nick Nolte,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Fana Mokoena,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Jeremiah Ndlovu,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Lebo Mashile,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Antonio David Lyons,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Leleti Khumalo,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Kgomotso Seitshohlo,111.33333333333333,0.44999999999999996,20500
Hotel Ruanda,Lerato Mokgotho,111.33333333333333,0.44999999999999996,20500
Logan: Wolverine,Hugh Jackman,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Patrick Stewart,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Dafne Keen,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Boyd Holbrook,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Stephen Merchant,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Elizabeth Rodriguez,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Richard E. Grant,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Eriq La Salle,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Elise Neal,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Quincy Fouse,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Al Coronel,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Frank Gallegos,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Anthony Escobar,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Reynaldo Gallegos,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Krzysztof Soszynski,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Stephen Dunlevy,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Daniel Bernhardt,112.05555555555556,0.44999999999999996,45388.88888888889
Logan: Wolverine,Ryan Sturz,112.05555555555556,0.44999999999999996,45388.88888888889
Spotlight,Mark Ruffalo,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Michael Keaton,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Rachel McAdams,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Liev Schreiber,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,John Slattery,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Brian d'Arcy James,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Stanley Tucci,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Elena Wohl,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Gene Amoroso,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Doug Murray,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Sharon McFarlane,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Jamey Sheridan,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Neal Huff,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Billy Crudup,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Robert B. Kennedy,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Duane Murray,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Brian Chamberlain,111.94444444444444,0.44999999999999996,27555.555555555555
Spotlight,Michael Cyril Creighton,111.94444444444444,0.44999999999999996,27555.555555555555
Pluton,Charlie Sheen,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Tom Berenger,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Willem Dafoe,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Keith David,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Forest Whitaker,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Francesco Quinn,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Kevin Dillon,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,John C. McGinley,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Reggie Johnson,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Mark Moses,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Corey Glover,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Johnny Depp,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Chris Pedersen,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Bob Orwig,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Corkey Ford,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,David Neidorf,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Richard Edson,110.33333333333333,0.44999999999999996,24111.11111111111
Pluton,Tony Todd,110.33333333333333,0.44999999999999996,24111.11111111111
Męczeństwo Joanny d'Arc,Maria Falconetti,107.11111111111111,0.44999999999999996,3333.3333333333335
Męczeństwo Joanny d'Arc,Eugene Silvain,107.11111111111111,0.44999999999999996,3333.3333333333335
Męczeństwo Joanny d'Arc,André Berley,107.11111111111111,0.44999999999999996,3333.3333333333335
Męczeństwo Joanny d'Arc,Maurice Schutz,107.11111111111111,0.44999999999999996,3333.3333333333335
Męczeństwo Joanny d'Arc,Antonin Artaud,107.11111111111111,0.44999999999999996,3333.3333333333335
Męczeństwo Joanny d'Arc,Michel Simon,107.11111111111111,0.44999999999999996,3333.3333333333335
Męczeństwo Joanny d'Arc,Jean d'Yd,107.11111111111111,0.44999999999999996,3333.3333333333335
